,No.,Pos.,Player,DoB,Caps,Club,Age,Country,Club_Country,WC_Year
1489,2,DF,Guido Vincenzi,1932-07-14,1,Internazionale,21.0,Italy,Italy,1954
1490,3,DF,Giovanni Giacomazzi,1928-01-18,1,Internazionale,26.0,Italy,Italy,1954
1491,4,DF,Maino Neri,1924-06-30,6,Internazionale,29.0,Italy,Italy,1954
1492,5,MF,Omero Tognon,1924-03-03,11,Milan,30.0,Italy,Italy,1954
1493,6,MF,Fulvio Nesti,1925-06-08,2,Internazionale,29.0,Italy,Italy,1954
1494,7,FW,Ermes Muccinelli,1927-07-28,9,Juventus,26.0,Italy,Italy,1954
1495,8,FW,Egisto Pandolfini,1926-02-19,14,Roma,28.0,Italy,Italy,1954
1496,9,FW,Carlo Galli,1931-03-06,2,Roma,23.0,Italy,Italy,1954
1497,10,FW,Gino Cappello,1920-06-02,10,Bologna,34.0,Italy,Italy,1954
1498,11,FW,Benito Lorenzi,1925-12-20,11,Internazionale,28.0,Italy,Italy,1954
1499,12,GK,Giovanni Viola,1926-06-26,0,Juventus,27.0,Italy,Italy,1954
1500,13,DF,Ardico Magnini,1928-10-21,4,Fiorentina,25.0,Italy,Italy,1954
1501,14,DF,Sergio Cervato,1929-03-22,11,Fiorentina,25.0,Italy,Italy,1954
1502,15,DF,Giacomo Mari,1924-10-17,7,Juventus,29.0,Italy,Italy,1954
1503,16,MF,Rino Ferrario,1926-12-07,1,Juventus,27.0,Italy,Italy,1954
1504,17,FW,Armando Segato,1930-05-03,3,Fiorentina,24.0,Italy,Italy,1954
1505,18,MF,Gino Pivatelli,1933-03-27,0,Bologna,21.0,Italy,Italy,1954
1506,19,FW,Giampiero Boniperti (captain),1928-07-04,22,Juventus,25.0,Italy,Italy,1954
1507,20,MF,Guido Gratton,1932-09-23,1,Fiorentina,21.0,Italy,Italy,1954
1508,21,FW,Amleto Frignani,1932-03-05,6,Milan,22.0,Italy,Italy,1954
1509,22,GK,Leonardo Costagliola,1921-10-27,3,Fiorentina,32.0,Italy,Italy,1954
1510,1,GK,Léopold Gernaey,1927-02-25,7,A.S.V. Oostende K.M.,27.0,Belgium,Belgium,1954
1511,2,DF,Marcel Dries,1929-09-19,7,Berchem Sport,24.0,Belgium,Belgium,1954
1512,3,DF,Alfons Van Brandt,1927-06-24,18,Lierse,26.0,Belgium,Belgium,1954
1513,4,DF,Constant Huysmans,1928-10-11,5,Royal Beerschot AC,25.0,Belgium,Belgium,1954
1514,5,MF,Louis Carré,1925-01-07,39,Royal FC Liegeois,29.0,Belgium,Belgium,1954
1515,6,MF,Victor Mees,1927-01-26,31,Royal Antwerp FC,27.0,Belgium,Belgium,1954
1516,7,MF,Jozef Vliers,1932-12-18,0,Royal Beerschot AC,21.0,Belgium,Belgium,1954
1517,8,FW,Denis Houf,1932-02-16,0,Standard Liège,22.0,Belgium,Belgium,1954
1518,9,FW,Henri Coppens,1930-04-29,32,Royal Beerschot AC,24.0,Belgium,Belgium,1954
1519,10,FW,Léopold Anoul,1922-08-19,45,Royal FC Liegeois,31.0,Belgium,Belgium,1954
1520,11,FW,Joseph Mermans (captain),1922-02-16,45,RSC Anderlechtois,32.0,Belgium,Belgium,1954
1521,12,GK,Charles Geerts,1930-10-29,0,Royal Beerschot AC,23.0,Belgium,Belgium,1954
1522,13,DF,Henri Dirickx,1927-07-07,13,Union St. Gilloise,26.0,Belgium,Belgium,1954
1523,14,MF,Robert Van Kerkhoven,1924-10-01,5,Daring Club,29.0,Belgium,Belgium,1954
1524,15,FW,Hippolyte Van Den Bosch,1926-04-30,2,RSC Anderlechtois,28.0,Belgium,Belgium,1954
1525,16,FW,Pieter Van Den Bosch,1927-10-31,0,RSC Anderlechtois,26.0,Belgium,Belgium,1954
1526,17,GK,Raymond Ausloos,1928-05-15,0,White Star,26.0,Belgium,Belgium,1954
1527,18,DF,Jef Van Der Linden,1927-11-02,0,Royal Antwerp FC,26.0,Belgium,Belgium,1954
1528,19,MF,Jo Backaert,1921-08-05,0,Charleroi SC,32.0,Belgium,Belgium,1954
1529,20,MF,Robert Maertens,1930-01-24,11,Royal Antwerp FC,24.0,Belgium,Belgium,1954
1530,21,MF,Jean Van Steen,1929-06-02,5,RSC Anderlechtois,25.0,Belgium,Belgium,1954
1531,22,FW,Luc Van Hoyweghen,1929-01-07,0,Daring Club,25.0,Belgium,Belgium,1954
1532,1,GK,Fritz Herkenrath,1928-09-09,15,Rot-Weiss Essen,29.0,West Germany,West Germany,1958
1533,2,DF,Herbert Erhardt,1930-07-06,17,SpVgg Fürth,27.0,West Germany,West Germany,1958
1534,3,DF,Erich Juskowiak,1926-09-07,20,Fortuna Düsseldorf,31.0,West Germany,West Germany,1958
1535,4,MF,Horst Eckel,1932-02-08,27,1. FC Kaiserslautern,26.0,West Germany,West Germany,1958
1536,5,DF,Heinz Wewers,1927-07-27,11,Rot-Weiss Essen,30.0,West Germany,West Germany,1958
1537,6,MF,Horst Szymaniak,1934-08-29,9,Wuppertaler SV,23.0,West Germany,West Germany,1958
1538,7,DF,Georg Stollenwerk,1930-12-19,8,1. FC Köln,27.0,West Germany,West Germany,1958
1539,8,FW,Helmut Rahn,1929-08-16,22,Rot-Weiss Essen,28.0,West Germany,West Germany,1958
1540,9,MF,Fritz Walter,1920-10-31,56,1. FC Kaiserslautern,37.0,West Germany,West Germany,1958
1541,10,FW,Aki Schmidt,1935-09-05,7,BV Borussia Dortmund,22.0,West Germany,West Germany,1958
1542,11,FW,Hans Schäfer (captain),1927-10-19,27,1. FC Köln,30.0,West Germany,West Germany,1958
1543,12,FW,Uwe Seeler,1936-11-05,4,Hamburger SV,21.0,West Germany,West Germany,1958
1544,13,FW,Bernhard Klodt,1926-10-26,16,FC Schalke 04,31.0,West Germany,West Germany,1958
1545,14,FW,Hans Cieslarczyk,1937-05-03,3,SV Sodingen,21.0,West Germany,West Germany,1958
1546,15,FW,Alfred Kelbassa,1925-04-21,5,BV Borussia Dortmund,33.0,West Germany,West Germany,1958
1547,16,FW,Hans Sturm,1935-09-03,1,1. FC Köln,22.0,West Germany,West Germany,1958
1548,17,DF,Karl-Heinz Schnellinger,1939-03-31,1,SG Düren 99,19.0,West Germany,West Germany,1958
1549,18,MF,Rudi Hoffmann*,1935-02-11,1,VfB Stuttgart,23.0,West Germany,West Germany,1958
1550,19,MF,Wolfgang Peters*,1929-01-08,1,BV Borussia Dortmund,29.0,West Germany,West Germany,1958
1551,20,DF,Hermann Nuber*,1935-10-10,0,Kickers Offenbach,22.0,West Germany,West Germany,1958
1552,21,GK,Günter Sawitzki*,1932-11-22,4,VfB Stuttgart,25.0,West Germany,West Germany,1958
1553,22,GK,Heinz Kwiatkowski,1926-07-16,3,BV Borussia Dortmund,31.0,West Germany,West Germany,1958
1554,1,GK,Harry Gregg,1932-10-25,10,Manchester United,25.0,Northern Ireland,England,1958
1555,2,DF,Willie Cunningham,1930-02-20,16,Leicester City,28.0,Northern Ireland,England,1958
1556,3,DF,Alf McMichael,1927-10-01,29,Newcastle United,30.0,Northern Ireland,England,1958
1557,4,MF,Danny Blanchflower (captain),1926-02-10,30,Tottenham Hotspur,32.0,Northern Ireland,England,1958
1558,5,DF,Dick Keith,1933-05-15,3,Newcastle United,25.0,Northern Ireland,England,1958
1559,6,MF,Bertie Peacock,1928-09-29,15,Celtic,29.0,Northern Ireland,Scotland,1958
1560,7,FW,Billy Bingham,1931-08-05,28,Sunderland,26.0,Northern Ireland,England,1958
1561,8,FW,Wilbur Cush,1928-06-10,11,Leeds United,29.0,Northern Ireland,England,1958
1562,9,FW,Billy Simpson,1929-12-12,11,Rangers,28.0,Northern Ireland,Scotland,1958
1563,10,FW,Jimmy McIlroy,1931-10-25,26,Burnley,26.0,Northern Ireland,England,1958
1564,11,FW,Peter McParland,1934-04-25,14,Aston Villa,24.0,Northern Ireland,England,1958
1565,12,GK,Norman Uprichard,1928-04-20,15,Portsmouth,30.0,Northern Ireland,England,1958
1566,13,FW,Tommy Casey,1930-03-11,8,Newcastle United,28.0,Northern Ireland,England,1958
1567,14,FW,Jackie Scott,1933-12-22,0,Grimsby Town,24.0,Northern Ireland,England,1958
1568,15,FW,Sammy McCrory,1924-10-11,1,Southend United,33.0,Northern Ireland,England,1958
1569,16,FW,Derek Dougan,1938-01-20,0,Portsmouth,20.0,Northern Ireland,England,1958
1570,17,FW,Fay Coyle,1933-04-01,3,Nottingham Forest,25.0,Northern Ireland,England,1958
1571,18,GK,Roy Rea*,1934-11-28,0,Glenavon,23.0,Northern Ireland,Northern Ireland,1958
1572,19,DF,Len Graham*,1925-10-17,13,Doncaster Rovers,32.0,Northern Ireland,England,1958
1573,20,MF,Sammy Chapman*,1938-02-16,0,Portsmouth,20.0,Northern Ireland,England,1958
1574,21,DF,Tommy Hamill*,1933-07-10,0,Linfield,24.0,Northern Ireland,Northern Ireland,1958
1575,22,FW,Bobby Trainor*,,0,Coleraine,,Northern Ireland,Northern Ireland,1958
1576,1,GK,Imrich Stacho,1931-11-04,13,FC Spartak Trnava,26.0,Czechoslovakia,Czechoslovakia,1958
1577,2,DF,Gustav Mráz,1934-09-11,2,CH Bratislava,23.0,Czechoslovakia,Czechoslovakia,1958
1578,3,MF,Jiří Čadek,1935-12-07,2,Dukla Prague,22.0,Czechoslovakia,Czechoslovakia,1958
1579,4,DF,Ladislav Novák (captain),1930-12-05,33,Dukla Prague,27.0,Czechoslovakia,Czechoslovakia,1958
1580,5,MF,Josef Masopust,1931-02-09,18,Dukla Prague,27.0,Czechoslovakia,Czechoslovakia,1958
1581,6,DF,Svatopluk Pluskal,1930-10-28,19,Dukla Prague,27.0,Czechoslovakia,Czechoslovakia,1958
1582,7,FW,Kazimír Gajdoš,1934-03-28,4,CH Bratislava,24.0,Czechoslovakia,Czechoslovakia,1958
1583,8,FW,Milan Dvořák,1934-11-19,6,Dukla Prague,23.0,Czechoslovakia,Czechoslovakia,1958
1584,9,FW,Pavol Molnár,1936-02-13,7,CH Bratislava,22.0,Czechoslovakia,Czechoslovakia,1958
1585,10,FW,Jaroslav Borovička,1931-01-26,15,Dukla Prague,27.0,Czechoslovakia,Czechoslovakia,1958
1586,11,FW,Tadeáš Kraus,1932-10-22,21,Spartak Praha Sokolovo,25.0,Czechoslovakia,Czechoslovakia,1958
1587,12,FW,Zdeněk Zikán,1937-11-10,1,Dukla Pardubice,20.0,Czechoslovakia,Czechoslovakia,1958
1588,13,FW,Václav Hovorka,1931-09-19,1,Dynamo Praha,26.0,Czechoslovakia,Czechoslovakia,1958
1589,14,FW,Jiří Feureisl,1931-10-03,8,Slavia Karlovy Vary,26.0,Czechoslovakia,Czechoslovakia,1958
1590,15,FW,Jan Hertl,1929-01-23,22,Spartak Praha Sokolovo,29.0,Czechoslovakia,Czechoslovakia,1958
1591,16,DF,Ján Popluhár,1935-09-12,0,ŠK Slovan Bratislava,22.0,Czechoslovakia,Czechoslovakia,1958
1592,17,DF,Titus Buberník,1933-10-12,0,CH Bratislava,24.0,Czechoslovakia,Czechoslovakia,1958
1593,18,MF,Adolf Scherer,1938-05-05,0,CH Bratislava,20.0,Czechoslovakia,Czechoslovakia,1958
1594,19,GK,Břetislav Dolejší,1928-09-26,13,Dynamo Praha,29.0,Czechoslovakia,Czechoslovakia,1958
1595,20,MF,Anton Moravčík,1931-06-03,19,ŠK Slovan Bratislava,27.0,Czechoslovakia,Czechoslovakia,1958
1596,21,DF,František Šafránek,1931-01-02,13,Dukla Prague,27.0,Czechoslovakia,Czechoslovakia,1958
1597,22,GK,Viliam Schrojf,1931-08-02,7,ŠK Slovan Bratislava,26.0,Czechoslovakia,Czechoslovakia,1958
1598,1,GK,Amadeo Carrizo,1926-05-12,,River Plate,32.0,Argentina,Argentina,1958
1599,2,MF,Pedro Dellacha (captain),1926-07-09,,Racing,31.0,Argentina,Argentina,1958
1600,3,DF,Federico Vairo,1931-01-27,,River Plate,27.0,Argentina,Argentina,1958
1601,4,DF,Juan Francisco Lombardo,1925-06-11,,Boca Juniors,32.0,Argentina,Argentina,1958
1602,5,DF,Néstor Rossi,1925-05-10,,River Plate,33.0,Argentina,Argentina,1958
1603,6,MF,José Varacka,1932-05-27,,Independiente,26.0,Argentina,Argentina,1958
1604,7,FW,Omar Oreste Corbatta,1936-03-11,,Racing,22.0,Argentina,Argentina,1958
1605,8,FW,Eliseo Prado,1929-09-17,,River Plate,28.0,Argentina,Argentina,1958
1606,9,FW,Norberto Menéndez,1936-12-14,,River Plate,21.0,Argentina,Argentina,1958
1607,10,FW,Alfredo Rojas,1937-02-20,,Lanús,21.0,Argentina,Argentina,1958
1608,11,FW,Ángel Labruna,1918-09-28,,River Plate,39.0,Argentina,Argentina,1958
1609,12,GK,Julio Musimessi,1924-07-09,,Boca Juniors,33.0,Argentina,Argentina,1958
1610,13,DF,Alfredo Pérez,1929-04-10,,River Plate,29.0,Argentina,Argentina,1958
1611,14,DF,Federico Edwards,1931-01-25,,Boca Juniors,27.0,Argentina,Argentina,1958
1612,15,DF,David Acevedo,1937-02-20,,Independiente,21.0,Argentina,Argentina,1958
1613,16,MF,Eliseo Mouriño,1927-06-03,,Boca Juniors,31.0,Argentina,Argentina,1958
1614,17,DF,José Ramos Delgado,1935-08-25,,Lanús,22.0,Argentina,Argentina,1958
1615,18,FW,Norberto Boggio,1931-08-11,,San Lorenzo de Almagro,26.0,Argentina,Argentina,1958
1616,19,FW,Ludovico Avio,1932-10-06,,Vélez Sarsfield,25.0,Argentina,Argentina,1958
1617,20,FW,Ricardo Infante,1924-06-21,,Estudiantes de La Plata,33.0,Argentina,Argentina,1958
1618,21,FW,José Sanfilippo,1935-05-04,,San Lorenzo de Almagro,23.0,Argentina,Argentina,1958
1619,22,FW,Osvaldo Cruz,1931-05-29,,Independiente,27.0,Argentina,Argentina,1958
1620,1,GK,Claude Abbes,1927-05-24,3,Saint-Ètienne,31.0,France,France,1958
1621,2,GK,Dominique Colonna,1928-09-04,3,Stade de Reims,29.0,France,France,1958
1622,3,GK,François Remetter,1928-08-08,23,Girondins de Bordeaux,29.0,France,France,1958
1623,4,DF,Raymond Kaelbel,1932-01-31,17,AS Monaco,26.0,France,France,1958
1624,5,DF,André Lerond,1930-12-06,4,Olympique de Lyon,27.0,France,France,1958
1625,6,DF,Roger Marche (captain),1924-03-05,55,RC Paris,34.0,France,France,1958
1626,7,DF,Robert Mouynet,1930-03-25,0,Olympique de Lyon,28.0,France,France,1958
1627,8,MF,Bernard Chiarelli,1934-02-24,1,Valenciennes,24.0,France,France,1958
1628,9,MF,Kazimir Hnatow,1929-01-09,0,Angers,29.0,France,France,1958
1629,10,MF,Robert Jonquet,1925-05-03,46,Stade de Reims,33.0,France,France,1958
1630,11,MF,Maurice Lafont,1927-09-13,0,Nimes,30.0,France,France,1958
1631,12,MF,Jean-Jacques Marcel,1931-06-13,25,Marseille,26.0,France,France,1958
1632,13,DF,Armand Penverne,1926-11-26,26,Stade de Reims,31.0,France,France,1958
1633,14,MF,Raymond Bellot,1929-06-09,0,AS Monaco,28.0,France,France,1958
1634,15,FW,Stéphane Bruey,1932-12-11,2,Angers,25.0,France,France,1958
1635,16,FW,Yvon Douis,1935-05-16,3,Lille,23.0,France,France,1958
1636,17,FW,Just Fontaine,1933-07-18,5,Stade de Reims,24.0,France,France,1958
1637,18,MF,Raymond Kopa,1931-10-13,24,Real Madrid,26.0,France,Spain,1958
1638,19,MF,Célestin Oliver,1930-07-12,5,UA Sedan-Torcy,27.0,France,France,1958
1639,20,FW,Roger Piantoni,1931-12-26,25,Stade de Reims,26.0,France,France,1958
1640,21,FW,Jean Vincent,1930-11-29,22,Stade de Reims,27.0,France,France,1958
1641,22,FW,Maryan Wisnieski,1937-02-01,9,Lens,21.0,France,France,1958
1642,1,GK,Vladimir Beara,1928-11-02,53,Red Star Belgrade,29.0,Yugoslavia,Yugoslavia,1958
1643,2,GK,Srboljub Krivokuća,1928-03-14,4,Vojvodina Novi Sad,30.0,Yugoslavia,Yugoslavia,1958
1644,3,DF,Vasilije Šijaković,1929-08-02,3,OFK Belgrade,28.0,Yugoslavia,Yugoslavia,1958
1645,4,MF,Tomislav Crnković,1929-06-17,38,Dinamo Zagreb,28.0,Yugoslavia,Yugoslavia,1958
1646,5,DF,Novak Tomić,1936-01-07,0,Red Star Belgrade,22.0,Yugoslavia,Yugoslavia,1958
1647,6,DF,Branko Zebec (captain),1929-05-17,48,Partizan Belgrade,29.0,Yugoslavia,Yugoslavia,1958
1648,7,FW,Miloš Milutinović,1933-02-05,30,Partizan Belgrade,25.0,Yugoslavia,Yugoslavia,1958
1649,8,MF,Dobrosav Krstić,1932-02-05,22,Vojvodina Novi Sad,26.0,Yugoslavia,Yugoslavia,1958
1650,9,MF,Vujadin Boškov,1931-05-16,53,Vojvodina Novi Sad,27.0,Yugoslavia,Yugoslavia,1958
1651,10,MF,Ivan Šantek,1932-04-23,5,Dinamo Zagreb,26.0,Yugoslavia,Yugoslavia,1958
1652,11,DF,Vladimir Popović,1935-03-17,1,Red Star Belgrade,23.0,Yugoslavia,Yugoslavia,1958
1653,12,FW,Aleksandar Petaković,1932-08-06,11,Radnički Belgrade,25.0,Yugoslavia,Yugoslavia,1958
1654,13,FW,Todor Veselinović,1930-10-22,26,Vojvodina Novi Sad,27.0,Yugoslavia,Yugoslavia,1958
1655,14,DF,Milorad Milutinović,1933-02-05,,Partizan Belgrade,25.0,Yugoslavia,Yugoslavia,1958
1656,15,MF,Dragoslav Šekularac,1937-11-08,5,Red Star Belgrade,20.0,Yugoslavia,Yugoslavia,1958
1657,16,FW,Ilijas Pašić,1934-05-10,7,Željezničar Sarajevo,24.0,Yugoslavia,Yugoslavia,1958
1658,17,MF,Zdravko Rajkov,1927-12-05,24,Vojvodina Novi Sad,30.0,Yugoslavia,Yugoslavia,1958
1659,18,FW,Luka Lipošinović,1932-05-12,6,Dinamo Zagreb,26.0,Yugoslavia,Yugoslavia,1958
1660,19,FW,Radivoje Ognjanović,1933-07-01,1,Radnički Belgrade,24.0,Yugoslavia,Yugoslavia,1958
1661,20,GK,Gordan Irović,1934-07-02,0,Dinamo Zagreb,23.0,Yugoslavia,Yugoslavia,1958
1662,21,DF,Nikola Radović,1932-10-20,3,Red Star Belgrade,25.0,Yugoslavia,Yugoslavia,1958
1663,22,FW,Dražan Jerković,1936-08-06,0,Dinamo Zagreb,21.0,Yugoslavia,Yugoslavia,1958
1664,1,GK,Ramón Mayeregger,1934-02-26,,Nacional,24.0,Paraguay,Paraguay,1958
1665,2,DF,Edelmiro Arévalo,1929-01-07,,Olimpia,29.0,Paraguay,Paraguay,1958
1666,3,MF,Juan Vicente Lezcano,1937-04-05,,Olimpia,21.0,Paraguay,Paraguay,1958
1667,4,DF,Ignacio Achúcarro,1936-07-31,,Olimpia,21.0,Paraguay,Paraguay,1958
1668,5,MF,Salvador Villalba,1924-08-29,,Libertad,33.0,Paraguay,Paraguay,1958
1669,6,DF,Eligio Echagüe,1938-12-31,,Olimpia,19.0,Paraguay,Paraguay,1958
1670,7,FW,Juan Bautista Agüero (captain),1935-06-24,,Olimpia,22.0,Paraguay,Paraguay,1958
1671,8,FW,José Parodi,1932-08-30,,Olimpia,25.0,Paraguay,Paraguay,1958
1672,9,FW,Jorge Lino Romero,1937-09-23,,Sol de América,20.0,Paraguay,Paraguay,1958
1673,10,FW,Oscar Aguilera,1935-03-11,,Olimpia,23.0,Paraguay,Paraguay,1958
1674,11,FW,Florencio Amarilla,1935-01-03,,Nacional,23.0,Paraguay,Paraguay,1958
1675,12,GK,Samuel Aguilar,1933-03-16,,Libertad,25.0,Paraguay,Paraguay,1958
1676,13,DF,Luis Gini,1935-10-31,,Sol de América,22.0,Paraguay,Paraguay,1958
1677,14,DF,Darío Segovia,1932-03-18,,Sol de América,26.0,Paraguay,Paraguay,1958
1678,15,MF,Luis Santos Silva,,,Cerro Porteño,,Paraguay,Paraguay,1958
1679,16,FW,Claudio Lezcano,,,Olimpia,,Paraguay,Paraguay,1958
1680,17,DF,Agustín Miranda,1930-01-01,,Cerro Porteño,28.0,Paraguay,Paraguay,1958
1681,18,FW,Gilberto Penayo,1933-04-03,,Sol de América,25.0,Paraguay,Paraguay,1958
1682,19,FW,Eliseo Insfrán,1935-10-27,,Guaraní,22.0,Paraguay,Paraguay,1958
1683,20,FW,José Raúl Aveiro,1936-07-18,,Sportivo Luqueño,21.0,Paraguay,Paraguay,1958
1684,21,FW,Cayetano Ré,1938-02-07,,Cerro Porteño,20.0,Paraguay,Paraguay,1958
1685,22,FW,Eligio Insfrán,1935-10-27,,Guaraní,22.0,Paraguay,Paraguay,1958
1686,1,GK,Tommy Younger (captain),1930-04-10,22,Liverpool,28.0,Scotland,England,1958
1687,2,DF,Tommy Docherty,1928-08-24,22,Preston North End,29.0,Scotland,England,1958
1688,3,DF,Alex Parker,1935-08-02,14,Everton,22.0,Scotland,England,1958
1689,4,DF,Eric Caldow,1934-05-14,10,Rangers,24.0,Scotland,Scotland,1958
1690,5,DF,John Hewie,1927-12-13,12,Charlton Athletic,30.0,Scotland,England,1958
1691,6,MF,Harry Haddock,1925-07-26,6,Clyde,32.0,Scotland,Scotland,1958
1692,7,DF,Ian McColl,1927-06-07,14,Rangers,31.0,Scotland,Scotland,1958
1693,8,FW,Eddie Turnbull,1923-04-12,5,Hibernian,35.0,Scotland,Scotland,1958
1694,9,MF,Bobby Evans,1927-07-16,34,Celtic,30.0,Scotland,Scotland,1958
1695,10,MF,Doug Cowie,1926-05-01,18,Dundee,32.0,Scotland,Scotland,1958
1696,11,MF,Dave Mackay,1934-11-14,1,Heart of Midlothian,23.0,Scotland,Scotland,1958
1697,12,GK,Bill Brown,1931-10-08,0,Dundee,26.0,Scotland,Scotland,1958
1698,13,DF,Sammy Baird,1930-05-13,6,Rangers,28.0,Scotland,Scotland,1958
1699,14,DF,Graham Leggat,1934-06-20,5,Aberdeen,23.0,Scotland,Scotland,1958
1700,15,FW,Alex Scott,1937-11-22,5,Rangers,20.0,Scotland,Scotland,1958
1701,16,FW,Jimmy Murray,1933-02-04,3,Heart of Midlothian,25.0,Scotland,Scotland,1958
1702,17,MF,Jackie Mudie,1930-04-10,14,Blackpool,28.0,Scotland,England,1958
1703,18,FW,John Coyle,1932-09-28,0,Clyde,25.0,Scotland,Scotland,1958
1704,19,MF,Bobby Collins,1931-02-16,19,Celtic,27.0,Scotland,Scotland,1958
1705,20,FW,Archie Robertson,1929-09-15,4,Clyde,28.0,Scotland,Scotland,1958
1706,21,MF,Stewart Imlach,1932-01-06,2,Nottingham Forest,26.0,Scotland,England,1958
1707,22,FW,Willie Fernie,1928-11-22,11,Celtic,29.0,Scotland,Scotland,1958
1708,1,GK,Kalle Svensson,1925-11-11,67,Helsingborg,32.0,Sweden,Sweden,1958
1709,2,DF,Orvar Bergmark,1930-11-16,37,Örebro,27.0,Sweden,Sweden,1958
1710,3,DF,Sven Axbom,1926-10-15,16,Norrköping,31.0,Sweden,Sweden,1958
1711,4,MF,Nils Liedholm (captain),1922-10-08,18,AC Milan,35.0,Sweden,Italy,1958
1712,5,MF,Åke Johansson,1928-03-19,16,Norrköping,30.0,Sweden,Sweden,1958
1713,6,MF,Sigge Parling,1930-03-26,11,Djurgården,28.0,Sweden,Sweden,1958
1714,7,FW,Kurt Hamrin,1934-11-19,20,Padova,23.0,Sweden,Italy,1958
1715,8,FW,Gunnar Gren,1920-10-31,49,Örgryte,37.0,Sweden,Sweden,1958
1716,9,FW,Agne Simonsson,1935-10-19,3,Örgryte,22.0,Sweden,Sweden,1958
1717,10,FW,Arne Selmosson,1931-03-29,1,Lazio,27.0,Sweden,Italy,1958
1718,11,FW,Lennart Skoglund,1929-12-24,4,Inter Milan,28.0,Sweden,Italy,1958
1719,12,GK,Tore Svensson,1927-12-06,1,Malmö,30.0,Sweden,Sweden,1958
1720,13,DF,Prawitz Öberg,1930-11-16,2,Malmö,27.0,Sweden,Sweden,1958
1721,14,MF,Bengt Gustavsson,1928-01-15,42,Atalanta,30.0,Sweden,Italy,1958
1722,15,MF,Reino Börjesson,1929-02-04,3,Norrby,29.0,Sweden,Sweden,1958
1723,16,GK,Ingemar Haraldsson,1928-02-03,0,Elfsborg,30.0,Sweden,Sweden,1958
1724,17,MF,Olle Håkansson,1927-02-22,7,Norrköping,31.0,Sweden,Sweden,1958
1725,18,FW,Gösta Löfgren,1923-08-29,38,Motala,34.0,Sweden,Sweden,1958
1726,19,FW,Henry Källgren,1931-03-13,5,Norrköping,27.0,Sweden,Sweden,1958
1727,20,FW,Bror Mellberg,1923-12-09,3,AIK,34.0,Sweden,Sweden,1958
1728,21,FW,Bengt Berndtsson,1933-01-26,4,Göteborg,25.0,Sweden,Sweden,1958
1729,22,FW,Ove Olsson,1938-08-19,1,Göteborg,19.0,Sweden,Sweden,1958
1730,1,GK,Jack Kelsey,1929-11-19,20,Arsenal,28.0,Wales,England,1958
1731,2,DF,Stuart Williams,1930-07-09,11,West Bromwich Albion,27.0,Wales,England,1958
1732,3,DF,Mel Hopkins,1934-11-07,13,Tottenham Hotspur,23.0,Wales,England,1958
1733,4,DF,Derrick Sullivan,1930-08-10,9,Cardiff City,27.0,Wales,Wales,1958
1734,5,MF,Mel Charles,1935-05-14,14,Swansea Town,23.0,Wales,Wales,1958
1735,6,MF,Dave Bowen (C),1928-06-07,11,Arsenal,30.0,Wales,England,1958
1736,7,FW,Terry Medwin,1932-09-25,14,Tottenham Hotspur,25.0,Wales,England,1958
1737,8,FW,Ron Hewitt,1928-06-21,2,Cardiff City,29.0,Wales,Wales,1958
1738,9,FW,John Charles,1931-12-27,25,Juventus,26.0,Wales,Italy,1958
1739,10,FW,Ivor Allchurch,1929-10-16,30,Swansea Town,28.0,Wales,Wales,1958
1740,11,FW,Cliff Jones,1935-02-07,17,Tottenham Hotspur,23.0,Wales,England,1958
1741,12,GK,Ken Jones,1936-01-02,0,Cardiff City,22.0,Wales,Wales,1958
1742,13,GK,Graham Vearncombe,1934-03-28,1,Cardiff City,24.0,Wales,Wales,1958
1743,14,DF,Trevor Edwards,1937-01-24,0,Charlton Athletic,21.0,Wales,England,1958
1744,15,DF,Colin Baker,1934-12-18,0,Cardiff City,23.0,Wales,Wales,1958
1745,16,MF,Vic Crowe,1932-01-31,0,Aston Villa,26.0,Wales,England,1958
1746,17,FW,Ken Leek,1935-07-26,0,Leicester City,22.0,Wales,England,1958
1747,18,FW,Roy Vernon,1937-04-14,7,Blackburn Rovers,21.0,Wales,England,1958
1748,19,FW,Colin Webster,1932-07-17,1,Manchester United,25.0,Wales,England,1958
1749,20,MF,John Elsworthy,1931-07-26,0,Ipswich Town,26.0,Wales,England,1958
1750,21,MF,Len Allchurch,1933-09-12,6,Swansea Town,24.0,Wales,Wales,1958
1751,22,MF,George Baker,1934-04-06,0,Plymouth Argyle,24.0,Wales,England,1958
1752,1,GK,Gyula Grosics,1926-02-04,52,Tatabányai Bányász SE,32.0,Hungary,Hungary,1958
1753,2,DF,Sándor Mátrai,1932-11-20,10,Ferencvárosi TC,25.0,Hungary,Hungary,1958
1754,3,DF,Ferenc Sipos,1932-12-13,7,MTK FC,25.0,Hungary,Hungary,1958
1755,4,DF,László Sárosi,1932-02-27,5,Vasas SC,26.0,Hungary,Hungary,1958
1756,5,DF,József Bozsik,1925-11-28,88,Budapest Honvéd FC,32.0,Hungary,Hungary,1958
1757,6,MF,Pál Berendi,1932-11-30,15,Vasas SC,25.0,Hungary,Hungary,1958
1758,7,MF,László Budai,1928-07-19,31,Budapest Honvéd FC,29.0,Hungary,Hungary,1958
1759,8,FW,Lajos Tichy,1935-03-21,19,Budapest Honvéd FC,23.0,Hungary,Hungary,1958
