,rank,club,country,level,elo,from,to,year
457,None,Kecioerenguecue,TUR,1,1200.90185547,1966-05-16,1966-08-24,1966
458,None,Sarpsborg,NOR,1,1200.22875977,1966-05-24,1966-05-31,1966
459,None,Simmering,AUT,1,1194.39672852,1966-05-29,1966-06-05,1966
460,None,Panionios,GRE,1,1191.30651855,1966-05-30,1966-06-05,1966
461,None,Skeid,NOR,1,1187.46984863,1966-05-24,1966-05-30,1966
462,None,Ethnikos Piraeus,GRE,1,1181.53808594,1966-05-30,1966-06-05,1966
463,None,Vefa,TUR,1,1181.50463867,1966-05-16,1966-08-24,1966
464,None,Apollon Athens,GRE,1,1167.29956055,1966-05-30,1966-06-05,1966
465,None,Frigg,NOR,1,1166.9510498,1966-05-24,1966-05-31,1966
466,None,Pierikos,GRE,1,1165.43127441,1966-05-30,1966-06-05,1966
467,None,Aris,GRE,1,1158.67565918,1966-05-30,1966-06-05,1966
468,None,Proodeftiki,GRE,1,1158.01367188,1966-05-29,1966-06-05,1966
469,None,PAOK,GRE,1,1148.1550293,1966-05-30,1966-06-05,1966
470,None,Steinkjer,NOR,1,1138.95397949,1966-05-24,1966-05-30,1966
471,None,Stade Dudelange,LUX,0,1126.91394043,1965-10-14,1966-07-02,1966
472,None,Trikala,GRE,1,1121.94067383,1966-05-30,1966-06-05,1966
473,None,Spora,LUX,0,1121.07800293,1965-10-14,1966-09-07,1966
474,None,Iraklis,GRE,1,1119.21484375,1966-05-30,1966-06-05,1966
475,None,Panegialios,GRE,1,1114.3729248,1966-05-30,1966-06-05,1966
476,None,Abo IFK Turku,FIN,0,1104.9161377,1966-01-01,1966-09-14,1966
477,None,Haka,FIN,0,1104.9161377,1966-01-01,1966-09-14,1966
478,None,Egaleo,GRE,1,1103.16247559,1966-05-30,1966-06-05,1966
479,None,Odd Grenland,NOR,1,1094.77819824,1966-05-24,1966-05-30,1966
480,None,KR Reykjavik,ISL,0,1092.96496582,1965-09-13,1966-08-22,1966
481,None,Panserraikos,GRE,1,1087.3112793,1966-05-30,1966-06-05,1966
482,None,Keflavik,ISL,0,1078.30126953,1965-09-13,1966-07-02,1966
483,None,Lisleby,NOR,1,1075.45458984,1966-05-24,1966-05-31,1966
484,None,Hodd,NOR,1,1065.83117676,1966-05-24,1966-05-30,1966
485,None,Niki Volou,GRE,1,1051.1217041,1966-05-30,1966-06-05,1966
486,None,Floriana,MLT,0,1045.28747559,1965-10-11,1966-09-07,1966
487,None,Sliema Wanderers,MLT,0,1044.18798828,1965-10-11,1966-09-07,1966
488,None,APOEL,CYP,0,1033.890625,1965-10-14,1966-07-02,1966
489,None,Omonia,CYP,0,1033.10180664,1965-10-14,1966-09-18,1966
0,1,Everton,ENG,1,1900.21740723,1970-04-30,1970-08-15,1970
1,2,Celtic,SCO,1,1866.83300781,1970-05-07,1970-08-19,1970
2,3,Cagliari,ITA,1,1866.23413086,1970-04-27,1970-08-19,1970
3,4,Inter,ITA,1,1859.0246582,1970-04-27,1970-08-15,1970
4,5,Leeds,ENG,1,1858.09436035,1970-04-30,1970-08-15,1970
5,6,Bayern,FRG,1,1843.73693848,1970-05-11,1970-08-15,1970
6,7,Gladbach,FRG,1,1839.26220703,1970-05-25,1970-08-15,1970
7,8,Ajax,NED,1,1836.99584961,1970-05-25,1970-08-15,1970
8,9,Chelsea,ENG,1,1834.7565918,1970-05-04,1970-08-15,1970
9,10,Milan,ITA,1,1829.2388916,1970-04-27,1970-09-06,1970
10,11,Liverpool,ENG,1,1820.37133789,1970-04-30,1970-08-15,1970
11,12,Juventus,ITA,1,1815.93200684,1970-04-27,1970-09-16,1970
12,13,Ujpest,HUN,1,1815.77832031,1970-05-28,1970-05-31,1970
13,14,Fiorentina,ITA,1,1805.56286621,1970-05-11,1970-05-31,1970
14,15,Hertha,FRG,1,1790.2623291,1970-05-19,1970-08-15,1970
15,16,Feyenoord,NED,1,1787.3046875,1970-05-24,1970-08-15,1970
16,17,Derby,ENG,1,1785.27270508,1970-05-24,1970-08-15,1970
17,18,Newcastle,ENG,1,1784.47387695,1970-05-24,1970-08-15,1970
18,19,Koeln,FRG,1,1777.38635254,1970-05-07,1970-08-15,1970
19,20,Man City,ENG,1,1767.44421387,1970-04-30,1970-08-15,1970
20,21,Man United,ENG,1,1757.84460449,1970-05-03,1970-08-15,1970
21,22,Arsenal,ENG,1,1754.6081543,1970-05-03,1970-06-03,1970
22,23,Saint-Etienne,FRA,1,1753.60168457,1970-05-28,1970-06-03,1970
23,24,Atletico,ESP,1,1752.9329834,1970-05-28,1970-06-06,1970
24,25,Napoli,ITA,1,1742.91333008,1970-05-13,1970-06-06,1970
25,26,Dynamo Kyiv,URS,1,1741.72106934,1970-05-21,1970-06-06,1970
26,27,Tottenham,ENG,1,1740.25585938,1970-05-21,1970-06-08,1970
27,28,Real Madrid,ESP,1,1739.13696289,1970-05-21,1970-06-08,1970
28,29,Coventry,ENG,1,1735.64941406,1970-05-13,1970-06-08,1970
29,30,Barcelona,ESP,1,1731.69433594,1970-05-01,1970-06-08,1970
30,31,Bilbao,ESP,1,1723.34472656,1970-05-04,1970-07-13,1970
31,32,Stoke,ENG,1,1722.05651855,1970-05-04,1970-07-13,1970
32,33,Standard,BEL,1,1717.5736084,1970-05-04,1970-08-03,1970
33,34,Frankfurt,FRG,1,1717.23144531,1970-05-04,1970-08-03,1970
34,35,Bologna,ITA,1,1715.10827637,1970-05-07,1970-08-03,1970
35,36,Torino,ITA,1,1711.07714844,1970-05-21,1970-08-03,1970
36,37,Benfica,POR,1,1709.54858398,1970-05-21,1970-08-22,1970
37,38,West Brom,ENG,1,1707.26477051,1970-05-21,1970-08-15,1970
38,39,Werder,FRG,1,1706.34631348,1970-05-21,1970-08-03,1970
39,40,Stuttgart,FRG,1,1705.15319824,1970-05-21,1970-08-03,1970
40,41,Hamburg,FRG,1,1704.99462891,1970-05-21,1970-08-03,1970
41,42,West Ham,ENG,1,1704.64697266,1970-05-28,1970-08-03,1970
42,43,Rangers,SCO,1,1704.08630371,1970-05-28,1970-07-24,1970
43,44,Slovan Bratislava,CSR,1,1701.78991699,1970-05-28,1970-07-20,1970
44,45,Burnley,ENG,1,1700.64099121,1970-05-28,1970-07-20,1970
45,46,Valencia,ESP,1,1695.83276367,1970-05-28,1970-05-30,1970
46,47,Spartak Moskva,URS,1,1695.38952637,1970-05-28,1970-05-30,1970
47,48,Ferencvaros,HUN,1,1695.10595703,1970-05-28,1970-05-30,1970
48,49,Dortmund,FRG,1,1694.12182617,1970-05-11,1970-06-08,1970
49,50,Lazio,ITA,1,1689.14477539,1970-05-24,1970-06-08,1970
50,51,Sporting,POR,1,1688.68603516,1970-05-24,1970-06-15,1970
51,52,Gornik,POL,1,1686.07568359,1970-05-28,1970-05-31,1970
52,53,Dinamo Tbilisi,URS,1,1685.55200195,1970-05-28,1970-05-31,1970
53,54,Trnava,CSR,1,1685.45629883,1970-05-28,1970-05-31,1970
54,55,Honved,HUN,1,1684.06677246,1970-05-28,1970-05-31,1970
55,56,Vicenza,ITA,1,1683.80786133,1970-05-28,1970-05-31,1970
56,57,Schalke,FRG,1,1681.66625977,1970-05-28,1970-05-31,1970
57,58,Zehlendorf,FRG,2,1681.06958008,1970-05-28,1970-05-30,1970
58,59,Roma,ITA,1,1679.06481934,1970-05-28,1970-05-30,1970
59,60,Hannover,FRG,1,1678.7479248,1970-05-28,1970-05-30,1970
60,61,Vasas SC,HUN,1,1674.41162109,1970-05-28,1970-05-30,1970
61,62,Wolves,ENG,1,1671.57531738,1970-05-28,1970-06-10,1970
62,63,Nuernberg,FRG,2,1668.89294434,1970-05-28,1970-06-06,1970
63,64,Braunschweig,FRG,1,1668.58947754,1970-05-28,1970-06-06,1970
64,65,Lautern,FRG,1,1666.8885498,1970-05-28,1970-05-31,1970
65,66,CSKA Sofia,BUL,1,1664.36694336,1970-05-28,1970-05-31,1970
66,67,Ipswich,ENG,1,1663.37695312,1970-05-28,1970-05-31,1970
67,68,Dynamo Moskva,URS,1,1662.32519531,1970-05-28,1970-05-31,1970
68,69,Essen,FRG,1,1661.94177246,1970-05-28,1970-05-31,1970
69,70,Legia,POL,1,1661.20959473,1970-05-28,1970-05-30,1970
70,71,Southampton,ENG,1,1658.57348633,1970-05-28,1970-05-30,1970
71,72,Sparta Praha,CSR,1,1658.08459473,1970-05-28,1970-05-30,1970
72,73,Forest,ENG,1,1656.70263672,1970-05-28,1970-05-30,1970
73,74,Duisburg,FRG,1,1656.31384277,1970-05-28,1970-05-30,1970
74,75,Sampdoria,ITA,1,1655.06884766,1970-05-28,1970-05-30,1970
75,76,Brugge,BEL,1,1653.38000488,1970-05-28,1970-05-30,1970
76,77,Levski,BUL,1,1652.45825195,1970-05-28,1970-05-30,1970
77,78,Alsenborn,FRG,2,1651.68469238,1970-05-28,1970-05-30,1970
78,79,Zaragoza,ESP,1,1650.65979004,1970-05-18,1970-05-31,1970
79,80,Crvena Zvezda,YUG,1,1650.4621582,1970-05-25,1970-05-31,1970
80,81,PSV,NED,1,1647.31860352,1970-05-25,1970-06-10,1970
81,82,Las Palmas,ESP,1,1647.08996582,1970-05-25,1970-06-10,1970
82,83,Sociedad,ESP,1,1646.45007324,1970-05-25,1970-06-10,1970
83,84,Oberhausen,FRG,1,1641.98144531,1970-05-28,1970-05-30,1970
84,85,Sevilla,ESP,1,1640.56945801,1970-05-28,1970-05-30,1970
85,86,Muenchen 60,FRG,1,1639.93334961,1970-05-28,1970-05-30,1970
86,87,Setubal,POR,1,1639.30566406,1970-05-28,1970-05-30,1970
87,88,Offenbach,FRG,2,1638.95617676,1970-05-28,1970-05-30,1970
88,89,Verona,ITA,1,1632.68005371,1970-05-21,1970-06-14,1970
89,90,Hibernian,SCO,1,1632.18994141,1970-05-25,1970-06-14,1970
90,91,Huddersfield,ENG,2,1631.42907715,1970-05-25,1970-06-14,1970
91,92,Brescia,ITA,1,1630.98852539,1970-05-25,1970-06-14,1970
92,93,CSKA Moskva,URS,1,1629.46813965,1970-05-25,1970-06-07,1970
93,94,Karlsruhe,FRG,2,1623.77905273,1970-05-28,1970-05-30,1970
94,95,Anderlecht,BEL,1,1622.78869629,1970-05-28,1970-06-06,1970
95,96,Varese,ITA,2,1622.11181641,1970-05-28,1970-05-31,1970
96,97,TeBe,FRG,2,1621.26135254,1970-05-28,1970-05-30,1970
97,98,Pirmasens,FRG,2,1618.14074707,1970-05-28,1970-05-30,1970
98,99,Dinamo Zagreb,YUG,1,1610.87121582,1970-05-25,1970-05-30,1970
99,100,Leicester,ENG,2,1609.77209473,1970-05-04,1970-05-30,1970
100,None,Kilmarnock,SCO,1,1609.06359863,1970-05-07,1970-06-13,1970
101,None,Osnabrueck,FRG,2,1607.84472656,1970-04-16,1970-05-30,1970
102,None,Inter Bratislava,CSR,1,1606.66223145,1970-05-07,1970-06-17,1970
103,None,Sunderland,ENG,1,1605.50341797,1970-04-30,1970-07-01,1970
104,None,Sheffield Weds,ENG,1,1600.22558594,1970-04-30,1970-07-01,1970
105,None,Palermo,ITA,1,1599.74975586,1970-04-27,1970-07-01,1970
106,None,Elche,ESP,1,1598.46679688,1970-04-20,1970-09-13,1970
107,None,Sedan,FRA,1,1598.05200195,1970-05-28,1970-06-03,1970
108,None,Torpedo Moskva,URS,1,1597.3302002,1970-05-24,1970-06-09,1970
109,None,Pribram,CSR,1,1597.21276855,1970-05-07,1970-08-12,1970
110,None,Blackpool,ENG,2,1597.06274414,1970-04-30,1970-07-01,1970
111,None,Velez Mostar,YUG,1,1596.87573242,1970-05-25,1970-05-31,1970
112,None,Dunfermline,SCO,1,1596.78405762,1970-05-07,1970-08-29,1970
113,None,Tasmania,FRG,2,1596.26538086,1970-04-16,1970-08-02,1970
114,None,Marseille,FRA,1,1596.06542969,1970-05-28,1970-06-03,1970
115,None,Hearts,SCO,1,1595.30700684,1970-05-07,1970-08-29,1970
116,None,Twente,NED,1,1594.72314453,1970-05-24,1970-08-23,1970
117,None,Zeljeznicar,YUG,1,1593.76269531,1970-05-25,1970-05-31,1970
118,None,Reggina,ITA,2,1593.0378418,1970-05-25,1970-05-31,1970
119,None,Jena,GDR,1,1592.60107422,1970-05-25,1970-05-30,1970
120,None,Sheffield United,ENG,2,1590.03796387,1970-04-30,1970-08-15,1970
121,None,Partizan,YUG,1,1587.09533691,1970-05-25,1970-05-31,1970
122,None,Mantova,ITA,2,1586.66577148,1970-05-25,1970-05-31,1970
123,None,Hajduk,YUG,1,1586.37109375,1970-05-25,1970-05-31,1970
124,None,Sabadell,ESP,1,1586.09838867,1970-04-20,1970-09-13,1970
125,None,Dundee,SCO,1,1585.64770508,1970-05-07,1970-08-29,1970
126,None,Monza,ITA,2,1585.34667969,1970-05-25,1970-05-31,1970
127,None,Csepel,HUN,1,1582.68664551,1970-05-28,1970-05-31,1970
128,None,Bari,ITA,1,1582.40905762,1970-04-27,1970-07-01,1970
129,None,Den Haag,NED,1,1581.66650391,1970-05-25,1970-08-23,1970
130,None,Crystal Palace,ENG,1,1581.12988281,1970-04-30,1970-08-15,1970
131,None,Foggia,ITA,2,1581.0612793,1970-05-25,1970-05-31,1970
132,None,Sparta Rotterdam,NED,1,1580.76464844,1970-05-25,1970-08-23,1970
133,None,Aachen,FRG,1,1579.77038574,1970-05-04,1970-07-01,1970
134,None,Aberdeen,SCO,1,1578.74438477,1970-05-07,1970-08-29,1970
135,None,Depor,ESP,1,1578.28991699,1970-04-20,1970-07-01,1970
136,None,Espanyol,ESP,2,1576.01379395,1970-05-25,1970-05-31,1970
137,None,Dundee United,SCO,1,1575.91308594,1970-05-07,1970-08-29,1970
138,None,Ruch,POL,1,1575.33007812,1970-05-28,1970-06-06,1970
139,None,Gijon,ESP,2,1573.46520996,1970-05-25,1970-05-31,1970
140,None,Catania,ITA,2,1573.37268066,1970-05-25,1970-05-31,1970
141,None,Middlesbrough,ENG,2,1570.57312012,1970-04-30,1970-08-15,1970
142,None,Malaga,ESP,2,1569.90087891,1970-05-25,1970-05-31,1970
143,None,Airdrieonians,SCO,1,1569.7154541,1970-05-07,1970-08-29,1970
144,None,Wolfsburg,FRG,2,1565.46765137,1970-04-16,1970-05-30,1970
145,None,Morton,SCO,1,1565.1763916,1970-05-07,1970-08-29,1970
146,None,Pecsi Dozsa,HUN,1,1564.30957031,1970-05-28,1970-05-30,1970
147,None,Trencin,CSR,1,1564.13720703,1970-05-07,1970-08-12,1970
148,None,Neftchi,URS,1,1559.73498535,1970-05-25,1970-06-08,1970
149,None,Bordeaux,FRA,1,1559.51123047,1970-05-28,1970-06-03,1970
150,None,St Pauli,FRG,2,1559.32800293,1970-04-16,1970-08-02,1970
151,None,Go Ahead Eagles,NED,1,1558.92590332,1970-05-25,1970-08-23,1970
152,None,Bochum,FRG,2,1558.66931152,1970-05-28,1970-06-03,1970
153,None,Celta,ESP,1,1558.36621094,1970-04-20,1970-09-13,1970
154,None,Borough United,WAL,0,1558.11376953,1963-12-16,1985-07-02,1970
155,None,Granada,ESP,1,1557.73986816,1970-04-20,1970-09-13,1970
156,None,Teplice,CSR,1,1556.5480957,1970-05-07,1970-08-12,1970
157,None,Saarbruecken,FRG,2,1555.90454102,1970-04-16,1970-08-02,1970
158,None,Livorno,ITA,2,1555.58532715,1970-05-25,1970-05-31,1970
159,None,Neunkirchen,FRG,2,1552.93701172,1970-04-16,1970-08-02,1970
160,None,Kosice,CSR,1,1551.94055176,1970-05-07,1970-08-12,1970
161,None,Bayern Hof,FRG,2,1549.33422852,1970-04-20,1970-08-02,1970
162,None,OFK,YUG,1,1548.0925293,1970-05-25,1970-05-31,1970
163,None,Cardiff,ENG,2,1547.70031738,1970-04-30,1970-08-15,1970
164,None,Wacker 04 Berlin,FRG,2,1547.47827148,1970-04-16,1970-08-02,1970
165,None,Atalanta,ITA,2,1546.64404297,1970-05-25,1970-05-31,1970
166,None,Beveren,BEL,1,1545.75366211,1970-04-27,1970-09-06,1970
167,None,Millwall,ENG,2,1545.66381836,1970-04-30,1970-08-15,1970
168,None,Pisa,ITA,2,1544.52429199,1970-05-25,1970-05-31,1970
169,None,Lok Kosice,CSR,1,1544.39526367,1970-05-07,1970-08-12,1970
170,None,Slavia Sofia,BUL,1,1543.82556152,1970-04-27,1970-07-04,1970
171,None,Nis,YUG,1,1542.68286133,1970-05-25,1970-05-31,1970
172,None,SKA Rostov,URS,1,1541.71618652,1970-05-24,1970-06-08,1970
173,None,Goettingen,FRG,2,1540.93579102,1970-04-16,1970-08-02,1970
174,None,Guimaraes,POR,1,1540.56237793,1970-04-20,1970-09-13,1970
175,None,Bielefeld,FRG,2,1540.37243652,1970-05-28,1970-06-03,1970
176,None,Ararat,URS,1,1537.22143555,1970-05-21,1970-06-08,1970
177,None,Metz,FRA,1,1536.89123535,1970-05-28,1970-06-03,1970
178,None,St Johnstone,SCO,1,1536.8885498,1970-05-07,1970-08-29,1970
179,None,Gent,BEL,1,1535.98718262,1970-04-26,1970-09-06,1970
180,None,Norwich,ENG,2,1535.83825684,1970-04-30,1970-08-15,1970
181,None,Hull,ENG,2,1534.32641602,1970-04-30,1970-08-15,1970
182,None,Dinamo Minsk,URS,1,1533.83996582,1970-05-23,1970-06-08,1970
183,None,Austria Wien,AUT,1,1533.37658691,1970-05-23,1970-06-05,1970
184,None,Perugia,ITA,2,1533.03674316,1970-05-25,1970-05-31,1970
185,None,Frankfurt Oder,GDR,1,1532.92797852,1970-05-24,1970-05-30,1970
186,None,Como,ITA,2,1531.92712402,1970-05-25,1970-05-31,1970
187,None,Duesseldorf,FRG,2,1531.41491699,1970-04-16,1970-08-02,1970
188,None,Holstein,FRG,2,1529.65478516,1970-04-16,1970-08-02,1970
189,None,SW Ludwigshafen,FRG,2,1529.08581543,1970-04-16,1970-08-02,1970
190,None,Swindon,ENG,2,1528.24633789,1970-04-30,1970-08-15,1970
191,None,FK Sarajevo,YUG,1,1527.92443848,1970-05-25,1970-05-31,1970
192,None,Mallorca,ESP,1,1527.85339355,1970-04-20,1970-07-01,1970
193,None,Novi Sad,YUG,1,1527.0333252,1970-05-25,1970-05-31,1970
194,None,Tatabanya,HUN,1,1522.79418945,1970-05-28,1970-05-31,1970
195,None,Nantes,FRA,1,1521.90991211,1970-05-28,1970-06-03,1970
196,None,Gyoer,HUN,1,1521.42614746,1970-05-28,1970-05-31,1970
197,None,Porto,POR,1,1519.87683105,1970-04-20,1970-09-13,1970
198,None,Reggiana,ITA,2,1519.61755371,1970-05-25,1970-05-31,1970
199,None,Rouen,FRA,1,1517.95153809,1970-05-28,1970-06-03,1970
200,None,Betis,ESP,2,1517.17993164,1970-05-25,1970-05-31,1970
201,None,MTK,HUN,1,1515.59399414,1970-05-28,1970-05-31,1970
202,None,Beerschot VAC,BEL,1,1515.17724609,1970-04-26,1970-09-05,1970
203,None,Charleroi,BEL,1,1515.11242676,1970-04-27,1970-09-05,1970
204,None,Ternana,ITA,2,1514.85913086,1970-05-25,1970-05-31,1970
205,None,Slavia Praha,CSR,1,1514.06469727,1970-05-07,1970-08-09,1970
206,None,Carlisle,ENG,2,1513.73596191,1970-04-30,1970-08-15,1970
207,None,Banik Ostrava,CSR,1,1512.75817871,1970-05-07,1970-08-12,1970
208,None,Pontevedra,ESP,1,1512.34289551,1970-04-20,1970-07-01,1970
209,None,Lierse,BEL,1,1508.94226074,1970-04-27,1970-09-05,1970
210,None,Modena,ITA,2,1508.03063965,1970-05-25,1970-05-31,1970
211,None,QPR,ENG,2,1507.30371094,1970-04-30,1970-08-15,1970
212,None,Diosgyori,HUN,1,1506.67285156,1970-05-28,1970-05-31,1970
213,None,Strasbourg,FRA,1,1506.03601074,1970-05-28,1970-06-03,1970
214,None,Lok Plovdiv,BUL,1,1505.79772949,1970-04-27,1970-07-04,1970
215,None,Botev Plovdiv,BUL,1,1505.65917969,1970-04-27,1970-07-07,1970
216,None,Tatran Presov,CSR,1,1504.95068359,1970-05-07,1970-08-12,1970
217,None,Bytom,POL,1,1502.96130371,1970-05-28,1970-06-06,1970
218,None,Genoa,ITA,2,1502.91967773,1970-05-25,1970-05-31,1970
219,None,Chernomorets,URS,1,1502.38623047,1970-05-21,1970-06-09,1970
220,None,Schweinfurt,FRG,2,1502.05371094,1970-04-20,1970-08-02,1970
221,None,Cordoba,ESP,2,1501.77441406,1970-05-25,1970-05-31,1970
222,None,Blackburn,ENG,2,1500.03210449,1970-04-30,1970-08-15,1970
223,None,Cherno More,BUL,1,1499.92199707,1970-04-27,1970-07-04,1970
224,None,Sloboda Tuzla,YUG,1,1498.70593262,1970-05-25,1970-05-31,1970
225,None,Zilina,CSR,1,1496.94189453,1970-05-07,1970-08-12,1970
226,None,Academica,POR,1,1495.79260254,1970-04-20,1970-09-13,1970
227,None,Freiburger FC,FRG,2,1495.75756836,1970-04-20,1970-08-02,1970
228,None,Wuppertal,FRG,2,1494.61364746,1970-04-16,1970-08-02,1970
229,None,Clyde,SCO,1,1494.29748535,1970-05-07,1970-08-29,1970
230,None,Bristol City,ENG,2,1494.16149902,1970-04-30,1970-08-15,1970
231,None,Shakhtar,URS,1,1493.74597168,1970-05-21,1970-06-08,1970
232,None,Sosnowiec,POL,1,1493.56616211,1970-05-28,1970-06-06,1970
233,None,Angouleme,FRA,1,1493.3770752,1970-05-28,1970-06-03,1970
234,None,Neuendorf,FRG,2,1492.54101562,1970-04-16,1970-08-02,1970
235,None,Cesena,ITA,2,1492.09069824,1970-05-25,1970-05-31,1970
236,None,Nimes,FRA,1,1491.86108398,1970-05-28,1970-06-03,1970
237,None,Sochaux,FRA,1,1491.27111816,1970-05-28,1970-06-03,1970
238,None,Catanzaro,ITA,2,1491.04736328,1970-05-25,1970-05-31,1970
239,None,Zenit,URS,1,1490.76525879,1970-05-21,1970-06-08,1970
240,None,Celik Zenica,YUG,1,1490.73168945,1970-05-25,1970-05-31,1970
241,None,Arezzo,ITA,2,1487.02062988,1970-05-25,1970-05-31,1970
242,None,Zorya,URS,1,1486.23754883,1970-05-21,1970-06-08,1970
243,None,Molenbeek,BEL,1,1485.62768555,1970-04-27,1970-09-05,1970
244,None,Vardar,YUG,1,1485.18200684,1970-05-25,1970-05-31,1970
245,None,Olimpija Ljubljana,YUG,1,1484.49194336,1970-05-25,1970-05-31,1970
246,None,Bolton,ENG,2,1483.4354248,1970-04-30,1970-08-15,1970
247,None,Maastricht,NED,1,1482.68310547,1970-05-25,1970-08-23,1970
248,None,Spandau,FRG,2,1482.29467773,1970-04-16,1970-08-02,1970
249,None,SW Essen,FRG,2,1481.58618164,1970-04-16,1970-08-02,1970
250,None,Kairat,URS,2,1479.90454102,1970-05-22,1970-06-01,1970
251,None,Taranto,ITA,2,1478.51672363,1970-05-25,1970-05-31,1970
252,None,Kragujevac,YUG,1,1474.92883301,1970-05-25,1970-05-31,1970
253,None,Oxford,ENG,2,1474.34020996,1970-04-30,1970-08-15,1970
254,None,Hessen Kassel,FRG,2,1474.29833984,1970-04-20,1970-08-02,1970
255,None,Breda,NED,1,1473.62634277,1970-05-25,1970-08-23,1970
256,None,Portsmouth,ENG,2,1473.6138916,1970-04-30,1970-08-15,1970
257,None,Motherwell,SCO,1,1472.92138672,1970-05-07,1970-08-29,1970
258,None,Piacenza,ITA,2,1472.61157227,1970-05-25,1970-05-31,1970
259,None,Maribor,YUG,1,1472.07629395,1970-05-25,1970-05-31,1970
260,None,Dunaferr,HUN,1,1472.07116699,1970-05-28,1970-05-31,1970
261,None,Fuerth,FRG,2,1471.94580078,1970-04-20,1970-08-02,1970
262,None,Angers,FRA,1,1471.46960449,1970-05-28,1970-06-03,1970
263,None,Bor,YUG,1,1470.39648438,1970-05-25,1970-05-31,1970
264,None,Red Star,FRA,1,1469.89221191,1970-05-28,1970-06-03,1970
265,None,Fenerbahce,TUR,1,1468.86901855,1970-05-25,1970-05-31,1970
266,None,Arminia Hannover,FRG,2,1468.76940918,1970-04-16,1970-08-02,1970
267,None,St Mirren,SCO,1,1467.08850098,1970-05-07,1970-08-29,1970
268,None,Haladas,HUN,1,1465.67236328,1970-05-28,1970-05-31,1970
269,None,Lok Moskva,URS,2,1464.30200195,1970-05-22,1970-05-30,1970
270,None,Chemie Leipzig,GDR,1,1463.34301758,1970-05-24,1970-05-30,1970
271,None,Steaua,ROM,1,1462.36730957,1970-04-19,1970-06-28,1970
272,None,Pakhtakor Tashkent,URS,1,1461.98034668,1970-05-21,1970-06-08,1970
273,None,Zulte Waregem,BEL,1,1461.12255859,1970-04-27,1970-09-06,1970
274,None,Kryliya Sovetov,URS,2,1461.03405762,1970-05-22,1970-06-01,1970
275,None,Rennes,FRA,1,1460.04980469,1970-05-28,1970-06-03,1970
276,None,Luebeck,FRG,2,1459.10925293,1970-04-16,1970-08-02,1970
277,None,Holland Sport,NED,1,1458.74804688,1970-05-25,1970-08-23,1970
278,None,Salgotarjan,HUN,1,1458.00244141,1970-05-28,1970-05-31,1970
279,None,Rayo Vallecano,ESP,2,1457.76159668,1970-05-24,1970-05-31,1970
280,None,RFC Liege,BEL,1,1457.37231445,1970-04-27,1970-09-06,1970
281,None,Katowice,POL,1,1456.2286377,1970-05-28,1970-06-06,1970
282,None,St Truiden,BEL,1,1455.10961914,1970-04-26,1970-09-06,1970
283,None,Saar 05,FRG,2,1454.92407227,1970-04-16,1970-08-02,1970
284,None,Bremerhaven,FRG,2,1453.18725586,1970-04-16,1970-08-02,1970
285,None,FC Amsterdam,NED,1,1452.08410645,1970-05-25,1970-08-23,1970
286,None,Wiener SC,AUT,1,1451.92565918,1970-05-23,1970-06-07,1970
287,None,Magdeburg,GDR,1,1450.9440918,1970-05-24,1970-05-30,1970
288,None,Bastia,FRA,1,1450.09313965,1970-05-28,1970-06-03,1970
289,None,StGallen,SUI,0,1449.91967773,1969-11-26,1970-07-01,1970
290,None,Basel,SUI,0,1449.5637207,1969-11-26,1970-09-16,1970
291,None,Birmingham,ENG,2,1448.45983887,1970-04-30,1970-08-15,1970
292,None,Ayr United,SCO,1,1447.46459961,1970-05-07,1970-08-29,1970
293,None,Rapid Bucuresti,ROM,1,1446.87866211,1970-04-20,1970-06-24,1970
294,None,Wisla,POL,1,1446.73083496,1970-05-28,1970-05-31,1970
295,None,Dresden,GDR,1,1445.35070801,1970-05-25,1970-05-30,1970
296,None,Oviedo,ESP,2,1445.11791992,1970-05-24,1970-05-31,1970
297,None,Etar,BUL,1,1444.81433105,1970-04-27,1970-07-04,1970
298,None,Blau-Weiss 90,FRG,2,1444.39587402,1970-04-16,1970-08-02,1970
299,None,Trier,FRG,2,1444.16906738,1970-04-16,1970-08-02,1970
300,None,Tescoma Zlin,CSR,1,1443.47924805,1970-05-07,1970-08-09,1970
301,None,Aston Villa,ENG,2,1441.41186523,1970-04-30,1970-07-01,1970
302,None,Rapid Wien,AUT,1,1441.33520508,1970-05-24,1970-06-05,1970
303,None,Zwickau,GDR,1,1440.77575684,1970-05-24,1970-05-30,1970
304,None,Torpedo Kutaisi,URS,1,1440.48034668,1970-05-03,1970-06-07,1970
305,None,St Kickers,FRG,2,1439.70959473,1970-04-20,1970-08-02,1970
306,None,Watford,ENG,2,1439.62976074,1970-04-30,1970-08-15,1970
307,None,Crossing,BEL,1,1438.00683594,1970-04-27,1970-09-06,1970
308,None,Nijmegen,NED,1,1437.23278809,1970-05-25,1970-08-23,1970
309,None,Reutlingen,FRG,2,1436.7520752,1970-04-20,1970-08-02,1970
310,None,UTA Arad,ROM,1,1436.54650879,1970-04-19,1970-06-28,1970
311,None,Varzim,POR,1,1435.98266602,1970-04-20,1970-09-13,1970
312,None,Fabril,POR,1,1435.97546387,1970-04-20,1970-09-13,1970
313,None,Lyon,FRA,1,1435.13903809,1970-05-28,1970-06-03,1970
314,None,Rzeszow,POL,1,1432.99658203,1970-05-28,1970-06-06,1970
